CELL_A	LONGITUDE_A	LATITUDE_A	CELL_B	LONGITUDE_B	LATITUDE_B
60001	112.568	35.0946	60002	112.567	35.0929
60001	112.568	35.0946	60027	112.574	35.0939
60001	112.568	35.0946	60142	112.573	35.0923
60001	112.568	35.0946	60252	112.568	35.099
60001	112.568	35.0946	60305	112.574	35.0982
60001	112.568	35.0946	60312	112.567	35.0961
60001	112.568	35.0946	60349	112.567	35.0944
60002	112.567	35.0929	60142	112.573	35.0923
60002	112.567	35.0929	60255	112.561	35.0937
60002	112.567	35.0929	60342	112.567	35.0919
60002	112.567	35.0929	60349	112.567	35.0944
60003	112.703	35.0775	60082	112.724	35.0489
60003	112.703	35.0775	60110	112.685	35.0472
60003	112.703	35.0775	60117	112.683	35.1045
60003	112.703	35.0775	60146	112.66	35.0694
60003	112.703	35.0775	60171	112.737	35.0866
60003	112.703	35.0775	60172	112.698	35.0375
60003	112.703	35.0775	60237	112.708	35.0918
60003	112.703	35.0775	60289	112.662	35.0635
60004	112.281	35.1129	60037	112.266	35.1498
60004	112.281	35.1129	60136	112.29	35.0791
60004	112.281	35.1129	60162	112.308	35.1211
60004	112.281	35.1129	60175	112.269	35.0817
60004	112.281	35.1129	60236	112.258	35.1282
60005	112.712	35.1629	60052	112.721	35.1465
60005	112.712	35.1629	60108	112.715	35.1787
60005	112.712	35.1629	60150	112.703	35.1795
60005	112.712	35.1629	60244	112.694	35.1449
60005	112.712	35.1629	60294	112.703	35.1795
60005	112.712	35.1629	60300	112.723	35.1711
60006	112.544	35.1581	60036	112.564	35.1312
60006	112.544	35.1581	60062	112.578	35.1685
60006	112.544	35.1581	60144	112.512	35.1457
60006	112.544	35.1581	60147	112.541	35.1849
60006	112.544	35.1581	60212	112.531	35.1334
60006	112.544	35.1581	60222	112.574	35.1387
60006	112.544	35.1581	60287	112.581	35.1534
60006	112.544	35.1581	60304	112.538	35.1656
60007	112.518	34.9235	60049	112.447	34.923
60007	112.518	34.9235	60057	112.55	34.9652
60007	112.518	34.9235	60092	112.486	34.9498
60007	112.518	34.9235	60126	112.472	34.9325
60007	112.518	34.9235	60137	112.525	34.9568
60007	112.518	34.9235	60176	112.591	34.9842
60007	112.518	34.9235	60177	112.634	34.986
60008	112.587	35.0931	60009	112.586	35.0927
60008	112.587	35.0931	60078	112.588	35.0893
60008	112.587	35.0931	60149	112.584	35.0968
60008	112.587	35.0931	60249	112.592	35.0926
60008	112.587	35.0931	60250	112.592	35.0935
60008	112.587	35.0931	60343	112.589	35.0992
60009	112.586	35.0927	60078	112.588	35.0893
60009	112.586	35.0927	60141	112.582	35.0936
60009	112.586	35.0927	60149	112.584	35.0968
60009	112.586	35.0927	60163	112.585	35.0911
60009	112.586	35.0927	60164	112.585	35.0911
60010	112.498	35.1064	60148	112.521	35.1015
60010	112.498	35.1064	60154	112.489	35.1146
60010	112.498	35.1064	60159	112.48	35.0932
60010	112.498	35.1064	60211	112.51	35.1133
60010	112.498	35.1064	60243	112.501	35.0849
60011	112.129	35.1552	60012	112.129	35.1552
60011	112.129	35.1552	60046	112.162	35.1916
60011	112.129	35.1552	60087	112.19	35.136
60011	112.129	35.1552	60112	112.13	35.1224
60011	112.129	35.1552	60132	112.09	35.1516
60012	112.129	35.1552	60046	112.162	35.1916
60012	112.129	35.1552	60104	112.137	35.2072
60012	112.129	35.1552	60132	112.09	35.1516
60013	112.681	35.1337	60063	112.712	35.1077
60013	112.681	35.1337	60152	112.664	35.1274
60013	112.681	35.1337	60232	112.666	35.1426
60013	112.681	35.1337	60244	112.694	35.1449
60013	112.681	35.1337	60290	112.676	35.1169
60014	112.587	35.0407	60043	112.559	35.0501
60014	112.587	35.0407	60128	112.569	35.061
60014	112.587	35.0407	60168	112.613	35.021
60014	112.587	35.0407	60226	112.585	35.0619
60014	112.587	35.0407	60241	112.578	35.0243
60014	112.587	35.0407	60264	112.595	35.0468
60014	112.587	35.0407	60299	112.595	35.0468
60014	112.587	35.0407	60345	112.595	35.0469
60015	112.615	35.0898	60067	112.616	35.1054
60015	112.615	35.0898	60213	112.61	35.0873
60015	112.615	35.0898	60253	112.618	35.0808
60015	112.615	35.0898	60256	112.61	35.0989
60015	112.615	35.0898	60269	112.625	35.089
60015	112.615	35.0898	60282	112.614	35.0817
60015	112.615	35.0898	60341	112.611	35.0922
60016	112.578	35.0875	60017	112.578	35.0872
60016	112.578	35.0875	60075	112.572	35.087
60016	112.578	35.0875	60335	112.578	35.0908
60016	112.578	35.0875	60340	112.574	35.09
60017	112.578	35.0872	60075	112.572	35.087
60017	112.578	35.0872	60116	112.576	35.0794
60017	112.578	35.0872	60143	112.581	35.0926
60017	112.578	35.0872	60185	112.581	35.0798
60017	112.578	35.0872	60186	112.58	35.0797
60017	112.578	35.0872	60192	112.584	35.0859
60017	112.578	35.0872	60193	112.584	35.0857
60017	112.578	35.0872	60335	112.578	35.0908
60018	112.597	35.0905	60259	112.599	35.0911
60018	112.597	35.0905	60265	112.6	35.093
60018	112.597	35.0905	60301	112.595	35.0917
60018	112.597	35.0905	60336	112.597	35.0903
60018	112.597	35.0905	60354	112.597	35.0903
60019	112.588	35.1003	60149	112.584	35.0968
60019	112.588	35.1003	60218	112.591	35.1026
60019	112.588	35.1003	60293	112.585	35.1032
60019	112.588	35.1003	60343	112.589	35.0992
60020	112.561	35.1073	60161	112.551	35.1212
60020	112.561	35.1073	60165	112.551	35.0957
60020	112.561	35.1073	60201	112.568	35.0998
60020	112.561	35.1073	60230	112.539	35.1095
60020	112.561	35.1073	60255	112.561	35.0937
60020	112.561	35.1073	60270	112.569	35.1038
60020	112.561	35.1073	60330	112.566	35.1128
60021	112.587	35.0807	60022	112.588	35.08
60021	112.587	35.0807	60185	112.581	35.0798
60021	112.587	35.0807	60193	112.584	35.0857
60021	112.587	35.0807	60231	112.589	35.0832
60021	112.587	35.0807	60326	112.589	35.0764
60022	112.588	35.08	60060	112.589	35.0766
60022	112.588	35.08	60231	112.589	35.0832
60022	112.588	35.08	60261	112.591	35.0779
60022	112.588	35.08	60263	112.593	35.0791
60022	112.588	35.08	60326	112.589	35.0764
60023	112.618	35.177	60095	112.643	35.1292
60023	112.618	35.177	60109	112.659	35.1735
60023	112.618	35.177	60210	112.599	35.1768
60023	112.618	35.177	60281	112.59	35.2161
60023	112.618	35.177	60295	112.65	35.1856
60023	112.618	35.177	60307	112.612	35.1282
60023	112.618	35.177	60309	112.644	35.1912
60024	112.485	35.0757	60105	112.468	35.0495
60024	112.485	35.0757	60158	112.461	35.0834
60024	112.485	35.0757	60159	112.48	35.0932
60024	112.485	35.0757	60207	112.499	35.0556
60024	112.485	35.0757	60243	112.501	35.0849
60025	112.179	35.0108	60125	112.217	34.9996
60025	112.179	35.0108	60206	112.062	35.0684
60025	112.179	35.0108	60220	112.138	35.0371
60025	112.179	35.0108	60223	112.164	35.0374
60025	112.179	35.0108	60234	112.195	35.0337
60025	112.179	35.0108	60246	112.216	34.9837
60026	112.418	34.9234	60049	112.447	34.923
60026	112.418	34.9234	60174	112.361	34.9668
60026	112.418	34.9234	60194	112.394	34.9744
60026	112.418	34.9234	60208	112.421	34.9322
60026	112.418	34.9234	60246	112.216	34.9837
60027	112.574	35.0939	60028	112.576	35.0938
60027	112.574	35.0939	60113	112.574	35.0919
60027	112.574	35.0939	60142	112.573	35.0923
60027	112.574	35.0939	60305	112.574	35.0982
60028	112.576	35.0938	60113	112.574	35.0919
60028	112.576	35.0938	60141	112.582	35.0936
60028	112.576	35.0938	60143	112.581	35.0926
60028	112.576	35.0938	60187	112.578	35.0911
60028	112.576	35.0938	60188	112.579	35.0913
60028	112.576	35.0938	60305	112.574	35.0982
60028	112.576	35.0938	60310	112.581	35.0933
60028	112.576	35.0938	60335	112.578	35.0908
60029	112.587	35.0726	60061	112.59	35.076
60029	112.587	35.0726	60180	112.581	35.0698
60029	112.587	35.0726	60185	112.581	35.0798
60029	112.587	35.0726	60272	112.581	35.0691
60029	112.587	35.0726	60314	112.588	35.07
60029	112.587	35.0726	60326	112.589	35.0764
60029	112.587	35.0726	60338	112.593	35.0702
60030	112.602	35.076	60266	112.603	35.0772
60030	112.602	35.076	60273	112.602	35.0752
60030	112.602	35.076	60313	112.601	35.0764
60030	112.602	35.076	60321	112.602	35.0758
60030	112.602	35.076	60322	112.603	35.0775
60031	112.602	35.0752	60258	112.606	35.0744
60031	112.602	35.0752	60266	112.603	35.0772
60031	112.602	35.0752	60267	112.606	35.0761
60031	112.602	35.0752	60273	112.602	35.0752
60031	112.602	35.0752	60321	112.602	35.0758
60031	112.602	35.0752	60337	112.601	35.0733
60032	112.54	35.0975	60148	112.521	35.1015
60032	112.54	35.0975	60165	112.551	35.0957
60032	112.54	35.0975	60170	112.537	35.0795
60032	112.54	35.0975	60230	112.539	35.1095
60032	112.54	35.0975	60331	112.551	35.0956
60033	112.542	34.9933	60057	112.55	34.9652
60033	112.542	34.9933	60058	112.57	34.9921
60033	112.542	34.9933	60118	112.481	35.0206
60033	112.542	34.9933	60130	112.529	35.0233
60033	112.542	34.9933	60137	112.525	34.9568
60033	112.542	34.9933	60251	112.55	35.0278
60034	112.694	35.1987	60108	112.715	35.1787
60034	112.694	35.1987	60109	112.659	35.1735
60034	112.694	35.1987	60121	112.75	35.1678
60034	112.694	35.1987	60150	112.703	35.1795
60034	112.694	35.1987	60281	112.59	35.2161
60034	112.694	35.1987	60294	112.703	35.1795
60034	112.694	35.1987	60295	112.65	35.1856
60034	112.694	35.1987	60309	112.644	35.1912
60035	112.655	35.0945	60053	112.657	35.0694
60035	112.655	35.0945	60095	112.643	35.1292
60035	112.655	35.0945	60117	112.683	35.1045
60035	112.655	35.0945	60127	112.633	35.0954
60035	112.655	35.0945	60146	112.66	35.0694
60035	112.655	35.0945	60152	112.664	35.1274
60035	112.655	35.0945	60178	112.627	35.1149
60035	112.655	35.0945	60245	112.63	35.0842
60035	112.655	35.0945	60290	112.676	35.1169
60036	112.564	35.1312	60161	112.551	35.1212
60036	112.564	35.1312	60191	112.566	35.1129
60036	112.564	35.1312	60209	112.576	35.1202
60036	112.564	35.1312	60212	112.531	35.1334
60036	112.564	35.1312	60222	112.574	35.1387
60037	112.266	35.1498	60064	112.275	35.1825
60037	112.266	35.1498	60096	112.236	35.1698
60037	112.266	35.1498	60162	112.308	35.1211
60037	112.266	35.1498	60179	112.229	35.143
60037	112.266	35.1498	60235	112.303	35.176
60037	112.266	35.1498	60236	112.258	35.1282
60038	112.421	35.0859	60039	112.425	35.1072
60038	112.421	35.0859	60047	112.432	35.0177
60038	112.421	35.0859	60048	112.448	35.076
60038	112.421	35.0859	60101	112.391	35.0835
60038	112.421	35.0859	60103	112.38	35.0424
60038	112.421	35.0859	60155	112.4	35.0971
60039	112.425	35.1072	60048	112.448	35.076
60039	112.425	35.1072	60072	112.386	35.1139
60039	112.425	35.1072	60080	112.462	35.1055
60039	112.425	35.1072	60131	112.414	35.1378
60039	112.425	35.1072	60138	112.464	35.1308
60039	112.425	35.1072	60155	112.4	35.0971
60040	112.505	35.1647	60122	112.465	35.1745
60040	112.505	35.1647	60138	112.464	35.1308
60040	112.505	35.1647	60144	112.512	35.1457
60040	112.505	35.1647	60166	112.515	35.1851
60040	112.505	35.1647	60304	112.538	35.1656
60041	112.304	35.0073	60084	112.351	35.0333
60041	112.304	35.0073	60085	112.354	34.9977
60041	112.304	35.0073	60098	112.273	35.0281
60041	112.304	35.0073	60102	112.332	35.0535
60041	112.304	35.0073	60174	112.361	34.9668
60041	112.304	35.0073	60239	112.264	35.0181
60041	112.304	35.0073	60246	112.216	34.9837
60042	112.428	35.1815	60120	112.393	35.1411
60042	112.428	35.1815	60122	112.465	35.1745
60042	112.428	35.1815	60131	112.414	35.1378
60042	112.428	35.1815	60229	112.396	35.2265
60042	112.428	35.1815	60303	112.453	35.1521
60043	112.559	35.0501	60128	112.569	35.061
60043	112.559	35.0501	60133	112.54	35.0669
60043	112.559	35.0501	60153	112.566	35.0698
60043	112.559	35.0501	60241	112.578	35.0243
60043	112.559	35.0501	60251	112.55	35.0278
60044	112.657	35.0368	60110	112.685	35.0472
60044	112.657	35.0368	60139	112.645	35.0161
60044	112.657	35.0368	60151	112.631	35.031
60044	112.657	35.0368	60167	112.664	35.0032
60044	112.657	35.0368	60221	112.686	35.0247
60044	112.657	35.0368	60289	112.662	35.0635
60044	112.657	35.0368	60302	112.636	35.0543
60045	112.212	35.0642	60068	112.197	35.042
60045	112.212	35.0642	60089	112.228	35.077
60045	112.212	35.0642	60173	112.202	35.093
60045	112.212	35.0642	60248	112.211	35.0583
60046	112.162	35.1916	60087	112.19	35.136
60046	112.162	35.1916	60096	112.236	35.1698
60046	112.162	35.1916	60104	112.137	35.2072
60046	112.162	35.1916	60242	112.186	35.2466
60047	112.432	35.0177	60048	112.448	35.076
60047	112.432	35.0177	60091	112.414	34.9883
60047	112.432	35.0177	60103	112.38	35.0424
60047	112.432	35.0177	60106	112.447	35.0198
60047	112.432	35.0177	60123	112.447	35.0026
60047	112.432	35.0177	60240	112.371	35.0116
60048	112.448	35.076	60080	112.462	35.1055
60048	112.448	35.076	60105	112.468	35.0495
60048	112.448	35.076	60106	112.447	35.0198
60048	112.448	35.076	60158	112.461	35.0834
60049	112.447	34.923	60099	112.453	34.9649
60049	112.447	34.923	60126	112.472	34.9325
60049	112.447	34.923	60208	112.421	34.9322
60050	112.558	35.0917	60051	112.561	35.0767
60050	112.558	35.0917	60165	112.551	35.0957
60050	112.558	35.0917	60170	112.537	35.0795
60050	112.558	35.0917	60190	112.567	35.0872
60050	112.558	35.0917	60200	112.566	35.0819
60050	112.558	35.0917	60255	112.561	35.0937
60050	112.558	35.0917	60331	112.551	35.0956
60051	112.561	35.0767	60133	112.54	35.0669
60051	112.561	35.0767	60153	112.566	35.0698
60051	112.561	35.0767	60170	112.537	35.0795
60051	112.561	35.0767	60200	112.566	35.0819
60051	112.561	35.0767	60296	112.569	35.0716
60051	112.561	35.0767	60328	112.566	35.0817
